"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"381683","Female","One or two times  ","Yes",NA,"Disagree",NA,"Never heard of it","Some Lessons","Disagree","Agree","Agree","Strongly agree",469.2398,477.3049,469.9179
"381684","Female","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Strongly agree","Strongly agree","Disagree","Strongly agree",492.2184,532.2712,523.8157
"381685","Female","None  ","Yes","Agree",NA,"Always or almost always","Know it well,  understand the concept",NA,NA,NA,NA,NA,459.503,532.2712,506.0985
"381686","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,494.01,486.7624,492.1112
"381687","Female","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",567.6975,548.2368,581.0705
"381688","Male","Three or four times  ","Yes","Disagree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,427.0213,394.4585,438.6796
"381689","Male","None  ","No","Agree","Disagree","Never or rarely",NA,"Most Lessons","Disagree","Agree","Disagree","Agree",579.3815,555.7297,543.771
"381690","Male","None  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Every Lesson","Disagree","Agree","Disagree","Agree",531.399,542.0966,566.7102
"381691","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Strongly agree","Agree","Agree",469.0061,463.7466,483.7188
"381692","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,466.124,536.1633,520.925
"381693","Female","One or two times  ","No","Disagree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,441.1201,479.1318,495.5614
"381694","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Strongly disagree","Agree",474.5365,494.7017,580.4178
"381695","Female","None  ","Yes","Agree","Agree","Sometimes",NA,"Every Lesson","Agree","Agree","Disagree","Agree",582.8088,654.6743,612.2156
"381696","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,624.9494,572.8111,662.7564
"381697","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,606.9559,649.1142,698.937
"381698","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,522.7528,498.2302,541.533
