"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"378923","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",491.4395,462.6239,499.5711
"378924","Male","None  ","No","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Disagree",572.6048,478.1816,533.1406
"378925","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Most Lessons","Disagree","Strongly agree","Agree","Strongly agree",388.9313,361.8996,337.3182
"378926","Male","None  ","Yes",NA,"Disagree",NA,"Never heard of it","Most Lessons","Agree","Agree","Disagree","Strongly agree",620.6652,520.4441,533.5136
"378927","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Disagree","Agree","Disagree","Agree",471.4987,490.2521,470.0112
"378928","Female","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Strongly agree","Strongly disagree","Agree",622.6905,532.9066,546.3819
"378929","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Strongly agree",642.8649,694.3899,632.2641
"378930","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,635.7766,643.554,676.5573
"378931","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,497.2815,587.714,558.5043
"378932","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Strongly agree","Agree","Disagree","Agree",408.3268,415.587,417.5121
"378933","Female","None  ","No","Strongly agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,500.4752,491.2848,468.799
"378934","Female","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,673.1656,655.3892,690.4513
"378935","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,741.4005,688.0354,684.5767
"378936","Male","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Strongly disagree","Agree",570.1122,538.8086,521.0183
"378937","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",437.1475,449.7423,436.1619
"378938","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it often","Some Lessons","Agree","Agree","Disagree","Agree",575.7205,587.3963,579.765
"378939","Male","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,544.563,514.2691,530.3432
"378940","Male","None  ","Yes","Strongly agree","Disagree","Often",NA,"Some Lessons","Agree","Disagree","Strongly disagree","Strongly agree",661.17,578.1841,598.7878
"378941","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,604.697,466.9544,482.7863
"378942","Male","None  ","No","Strongly agree",NA,"Always or almost always","Never heard of it",NA,NA,NA,NA,NA,702.0642,665.5962,709.6606
"378943","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,516.7549,536.1633,543.3047
"378944","Male","None  ","No","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,682.5129,633.5184,659.959
"378945","Male","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Strongly agree",592.4677,499.5133,573.3308
"378946","Female","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",553.9882,536.3221,571.1861
"378947","Male","None  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Strongly agree",494.3215,522.7697,553.7486
"378948","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Agree","Agree",508.9656,466.4732,489.5002
"378949","Male","Five or more times  ","No","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,553.2871,591.8172,582.2827
"378950","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,634.9977,583.7176,617.7173
"378951","Male","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Strongly disagree","Agree","Agree","Agree",515.1192,545.3044,512.3461
"378952","Female","None  ","No","Strongly agree","Strongly agree","Sometimes",NA,"Never or Hardly Ever","Strongly disagree","Strongly agree","Disagree","Strongly disagree",505.694,491.7613,443.342
"378953","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Never or Hardly Ever","Disagree","Agree","Strongly agree","Agree",620.4315,573.893,558.3178
"378954","Female","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Some Lessons","Strongly disagree","Agree","Agree","Strongly disagree",521.3507,515.9084,549.9254
"378955","Male","None  ","No","Agree","Agree","Never or rarely",NA,"Every Lesson","Disagree","Strongly disagree","Disagree","Agree",613.3432,600.4782,626.2962
"378956","Male","Five or more times  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Strongly agree","Agree",526.1022,547.5498,477.0981
"378957","Male","Five or more times  ","Yes","Strongly agree","Strongly agree","Never or rarely",NA,"Every Lesson","Strongly disagree","Strongly agree","Agree","Strongly agree",401.4722,468.0771,410.2387
"378958","Male","One or two times  ","Yes","Strongly agree","Agree","Often",NA,"Most Lessons","Strongly agree","Strongly agree","Strongly disagree","Strongly agree",593.4024,510.8208,489.6867
"378959","Male","Five or more times  ","Yes","Disagree","Strongly disagree","Always or almost always",NA,"Every Lesson","Strongly agree","Strongly agree","Strongly agree","Strongly agree",402.4069,310.2543,312.2342
"378960","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,360.8117,439.4163,414.7147
"378961","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,465.7345,462.6239,495.8411
"378962","Male","Five or more times  ","Yes","Agree",NA,"Never or rarely",NA,NA,NA,NA,NA,NA,307.5323,298.3053,272.417
"378963","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,484.1954,493.8997,514.5841
"378964","Male","None  ","No","Disagree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,549.4703,558.6969,593.9388
"378965","Female","Five or more times  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",380.363,338.5389,359.9776
"378966","Female","One or two times  ","Yes",NA,"Disagree",NA,NA,"Some Lessons","Strongly agree","Strongly agree","Strongly disagree","Strongly agree",328.2521,359.747,303.9351
"378967","Male","One or two times  ","Yes",NA,"Strongly disagree",NA,"Heard of it a few times","Some Lessons","Disagree","Disagree","Disagree","Agree",592.234,513.2266,485.8635
"378968","Female","One or two times  ","No","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,400.6933,432.1086,427.6762
"378969","Female","None  ","No","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,381.064,409.1531,385.5278
"378970","Male","Five or more times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Most Lessons","Strongly disagree","Strongly agree","Agree","Strongly agree",494.8668,542.3372,503.301
"378971","Female","Three or four times  ","No","Disagree","Agree","Never or rarely",NA,"Most Lessons","Agree","Disagree","Disagree","Agree",512.7824,491.0465,468.1462
"378972","Male","One or two times  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Strongly disagree","Strongly agree",640.6839,629.7492,664.6214
"378973","Male","Five or more times  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Never or Hardly Ever","Strongly disagree","Strongly agree","Agree","Disagree",348.3487,395.2605,370.608
"378974","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",409.9626,494.7819,494.6289
"378975","Male","Five or more times  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Never or Hardly Ever","Strongly agree","Strongly agree","Strongly agree","Strongly agree",426.7098,404.1621,426.2775
"378976","Male","Five or more times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Every Lesson","Strongly agree","Agree","Disagree","Agree",497.8268,519.8827,457.6091
"378977","Female","One or two times  ","Yes","Disagree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,352.9444,369.7553,346.643
"378978","Male","None  ","Yes",NA,"Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",370.1589,431.348,352.8907
"378979","Female","One or two times  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Some Lessons","Disagree","Strongly agree","Agree","Agree",418.3751,484.136,394.1999
"378980","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,462.0735,525.9961,476.0724
"378981","Female","Five or more times  ","Yes","Strongly agree","Disagree","Often",NA,"Some Lessons","Agree","Strongly agree","Disagree","Strongly agree",412.7668,477.4638,414.7147
"378982","Female","One or two times  ","No","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,431.7729,488.6635,451.7344
"378983","Female","One or two times  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Most Lessons","Agree","Agree","Disagree","Strongly agree",409.9626,503.1994,423.107
"378984","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,660.391,558.1355,610.9101
"378985","Male","None  ","Yes",NA,"Strongly disagree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Disagree",NA,635.0756,534.8791,624.2447
"378986","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,727.0681,683.8255,694.6475
"378987","Female","None  ","Yes","Agree","Disagree","Sometimes",NA,"Most Lessons","Disagree","Disagree","Strongly disagree","Strongly agree",633.3619,595.3394,594.6848
"378988","Female","Three or four times  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Most Lessons","Strongly disagree","Strongly disagree","Strongly disagree","Agree",609.3706,583.4247,583.495
"378989","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,695.1316,705.3513,674.7855
"378990","Female","None  ","Yes","Agree","Disagree","Sometimes",NA,"Every Lesson","Agree","Agree","Disagree","Agree",713.4367,681.6015,704.7184
"378991","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Strongly agree","Strongly agree","Disagree","Agree",648.3175,566.9569,615.4793
"378992","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Agree",559.5186,484.5972,532.2081
"378993","Male","One or two times  ","No","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,569.5669,582.9958,648.5826
"378994","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Some Lessons","Agree","Agree","Strongly disagree","Strongly agree",730.028,728.4658,742.6706
"378995","Female","None  ","Yes","Agree","Strongly agree","Sometimes",NA,"Every Lesson","Agree","Agree","Disagree","Agree",622.8462,602.9648,593.8456
"378996","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,527.5043,583.9013,562.7005
"378997","Male","None  ","Yes","Agree","Disagree","Sometimes",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",688.7444,622.2911,660.8915
"378998","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,614.2779,544.4223,564.9385
"378999","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Some Lessons","Agree","Agree","Disagree","Agree",609.3706,550.858,618.9295
"379000","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,586.8593,612.5074,594.5916
"379001","Male","None  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Every Lesson","Strongly agree","Strongly agree","Strongly agree","Strongly agree",422.5814,415.6299,478.1238
"379002","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Disagree","Agree","Agree","Strongly agree",469.9408,387.3212,458.2618
"379003","Female","None  ","Yes","Strongly agree","Strongly disagree","Sometimes",NA,"Most Lessons","Strongly agree","Agree","Strongly disagree","Strongly agree",670.5951,590.2558,648.7691
"379004","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it often","Most Lessons","Disagree","Agree","Disagree","Agree",581.7183,550.1161,562.4207
"379005","Male","None  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Agree","Disagree",439.7959,306.2446,359.7911
"379006","Male","Three or four times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",497.9826,441.8535,492.3909
"379007","Male","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Every Lesson","Disagree","Agree","Agree","Agree",374.0536,322.3637,367.1578
"379008","Male","One or two times  ","Yes",NA,"Agree","Often",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",348.816,287.0781,317.1764
"379009","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Disagree","Agree","Disagree","Agree",600.6465,559.5954,541.533
"379010","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Most Lessons","Agree","Agree","Strongly disagree","Strongly agree",520.4938,575.9582,521.671
"379011","Male","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Disagree","Agree",535.2937,488.3663,482.7863
"379012","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Agree","Agree","Disagree","Strongly agree",572.7606,569.6832,622.9392
"379013","Male","One or two times  ","Yes","Disagree","Strongly agree","Sometimes",NA,"Some Lessons","Strongly agree","Disagree","Agree","Agree",476.8733,432.9519,500.2238
"379014","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Strongly agree","Strongly agree","Strongly disagree","Agree",611.7853,612.3376,616.3185
"379015","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Most Lessons","Strongly disagree","Strongly agree","Disagree","Disagree",561.7775,565.7116,568.3887
"379016","Male","Three or four times  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Disagree","Agree","Disagree","Agree",590.1309,486.6822,533.2339
"379017","Male","One or two times  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,535.2937,461.02,537.5233
"379018","Female","One or two times  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,491.9847,521.9451,474.4871
"379019","Male","Five or more times  ","No","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,457.7115,373.608,416.6729
"379020","Female","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Some Lessons","Strongly disagree","Strongly agree","Disagree","Strongly agree",497.9047,551.3346,559.903
"379021","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,539.3441,563.9641,573.1443
"379022","Male","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,632.3493,556.5316,644.4797
"379023","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Agree","Agree",633.4398,572.5705,624.5244
"379024","Female","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Every Lesson","Disagree","Agree","Disagree","Agree",578.6805,597.4046,603.0772
"379025","Female","None  ","Yes","Agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,577.4342,601.4556,624.2447
"379026","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,652.9132,623.6962,680.2872
"379027","Female","None  ","No","Agree","Disagree","Sometimes",NA,"Never or Hardly Ever","Agree","Strongly agree","Disagree","Strongly agree",556.4029,571.2718,579.4853
"379028","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Strongly disagree","Agree",503.3572,467.5157,548.0604
"379029","Male","None  ","Yes","Agree",NA,"Often","Heard of it once or twice",NA,NA,NA,NA,NA,463.3198,489.9702,523.2562
"379030","Male","Five or more times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Strongly agree","Disagree","Strongly agree",608.6696,584.3591,598.6013
"379031","Female","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Agree",610.2274,608.3661,631.2383
"379032","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Disagree","Disagree","Agree",717.6429,639.9339,744.1626
"379033","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Some Lessons","Disagree","Agree","Agree","Agree",562.0112,618.3744,582.5625
"379034","Female","None  ","Yes","Agree","Disagree","Often",NA,"Never or Hardly Ever","Disagree","Agree","Disagree","Agree",532.879,598.5166,604.9422
"379035","Male","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Every Lesson","Agree","Agree","Disagree","Disagree",479.9891,523.5717,572.0254
"379036","Male","Five or more times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Strongly agree","Agree","Agree",272.7138,290.5264,342.9131
"379037","Female","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Some Lessons","Disagree","Strongly agree","Disagree","Strongly disagree",480.067,452.9196,599.627
"379038","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it often","Some Lessons","Agree","Agree","Disagree","Agree",575.8763,649.1142,609.3249
"379039","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,563.4912,632.1954,591.1414
"379040","Female","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",515.8981,498.4335,546.1954
"379041","Male","Three or four times  ","Yes","Agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,605.1644,585.3215,672.0813
"379042","Female","One or two times  ","Yes","Strongly agree","Disagree","Often",NA,"Every Lesson","Disagree","Strongly agree","Disagree","Agree",612.6422,577.0702,614.2671
"379043","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",395.9417,316.1887,432.4319
"379044","Male","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Strongly disagree","Agree",574.3184,537.5255,639.4442
"379045","Female","None  ","Yes","Strongly agree","Strongly disagree","Often",NA,"Every Lesson","Disagree","Agree","Agree","Disagree",633.7514,562.4549,569.6009
"379046","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Most Lessons","Agree","Agree","Disagree","Agree",522.8307,519.6416,574.9161
"379047","Male","Three or four times  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,560.2197,545.2242,605.5949
"379048","Female","None  ","No",NA,"Disagree",NA,"Heard of it once or twice","Most Lessons","Agree","Disagree","Disagree","Strongly agree",533.1126,514.6375,529.5972
"379049","Male","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Strongly agree","Agree","Agree","Strongly agree",370.1589,306.3248,401.6598
"379050","Male","None  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Agree","Agree","Agree",462.3072,425.2532,436.1619
"379051","Male","None  ","No","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,472.9787,466.7138,461.1526
"379052","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Strongly agree","Strongly agree","Strongly agree",433.2528,511.6191,428.4222
"379053","Male","None  ","Yes","Agree","Disagree","Always or almost always",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",367.1989,363.9044,337.2249
"379054","Female","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Most Lessons","Strongly agree","Strongly agree","Strongly disagree","Agree",615.9916,657.8516,597.8553
"379055","Male","None  ","Yes",NA,"Agree",NA,"Never heard of it","Every Lesson","Agree","Strongly agree","Disagree","Agree",443.4569,417.7951,474.1141
"379056","Male","None  ","Yes","Agree","Strongly disagree",NA,NA,"Most Lessons","Agree","Strongly agree","Strongly agree","Agree",422.2698,417.2338,445.4868
"379057","Female","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Most Lessons","Agree","Disagree","Disagree","Strongly agree",385.6598,432.5058,396.9974
"379058","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,431.3834,522.0246,466.3745
"379059","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,567.1522,609.637,572.3051
"379060","Male","None  ","No",NA,"Agree",NA,"Heard of it once or twice","Every Lesson","Agree","Agree","Disagree","Agree",395.9417,398.5484,413.1294
"379061","Male","One or two times  ","No","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,490.9721,499.5935,501.7158
"379062","Female","None  ","No","Strongly agree","Strongly agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Strongly agree",502.7341,538.4668,528.6647
"379063","Male","None  ","No","Strongly agree",NA,"Often","Heard of it often",NA,NA,NA,NA,NA,419.3878,314.9056,385.994
"379064","Female","None  ","Yes","Disagree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,531.399,508.4419,519.806
"379065","Male","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Agree","Agree",410.7415,424.2107,383.6628
"379066","Female","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",551.9629,514.002,493.1369
"379067","Male","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",531.1653,465.8316,468.799
"379068","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Disagree",507.0182,548.1574,534.0731
"379069","Male","None  ","Yes",NA,"Agree",NA,"Heard of it a few times",NA,"Agree","Agree","Disagree","Agree",495.6457,455.7271,496.7736
"379070","Female","None  ","No",NA,"Agree",NA,"Never heard of it","Most Lessons","Disagree","Agree","Disagree","Agree",379.8177,454.4288,373.7784
"379071","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,541.6031,562.7727,534.0731
"379072","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,335.9635,305.5228,270.8318
"379073","Female","None  ","No","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Agree",446.4948,475.9546,436.1619
"379074","Female","None  ","Yes","Disagree","Strongly agree","Never or rarely",NA,"Every Lesson","Disagree","Strongly agree","Agree","Agree",380.7525,402.878,388.978
"379075","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,639.6713,639.5825,617.0645
"379076","Male","None  ","No","Disagree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,511.1466,523.5717,543.1182
"379077","Female","Three or four times  ","No","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,420.9456,575.7993,517.4748
"379078","Female","None  ","No","Strongly agree",NA,"Often","Know it well,  understand the concept",NA,NA,NA,NA,NA,576.5773,556.9742,569.5076
"379079","Female","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,464.3325,510.3482,460.4066
"379080","Female","One or two times  ","Yes","Agree","Agree","Sometimes",NA,"Every Lesson","Agree","Agree","Disagree","Agree",346.0118,368.7227,403.3383
"379081","Male","One or two times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Every Lesson","Strongly agree","Strongly agree","Strongly agree","Strongly agree",411.4426,388.1232,438.7728
"379082","Female","One or two times  ","No",NA,"Strongly agree",NA,"Heard of it a few times","Most Lessons","Agree","Agree","Disagree","Agree",457.7115,507.6475,425.9978
"379083","Male","One or two times  ","Yes","Agree",NA,"Never or rarely",NA,"Most Lessons","Disagree","Agree","Disagree","Strongly agree",550.0156,484.5972,487.4487
"379084","Male","Three or four times  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Disagree","Agree",409.1058,456.2083,446.1395
"379085","Female","None  ","Yes",NA,"Strongly agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Disagree","Strongly disagree","Agree",433.3307,504.5497,428.4222
"379086","Male","One or two times  ","Yes","Agree",NA,"Always or almost always","Heard of it a few times",NA,NA,NA,NA,NA,350.7634,299.3478,341.9806
"379087","Male","One or two times  ","Yes","Agree","Agree","Sometimes",NA,"Every Lesson","Strongly agree","Strongly agree","Disagree","Agree",369.4579,462.1427,461.3391
"379088","Female","One or two times  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",385.7377,400.4157,396.7176
"379089","Female","Five or more times  ","Yes",NA,"Disagree",NA,"Heard of it often","Every Lesson","Strongly agree","Strongly agree","Strongly disagree","Disagree",466.124,533.7803,457.5159
"379090","Female","None  ","Yes","Strongly agree","Strongly agree","Sometimes",NA,"Every Lesson","Agree","Strongly agree","Strongly disagree","Strongly agree",464.4103,537.1164,511.6934
"379091","Female","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Disagree","Agree",540.0452,537.1164,556.7326
"379092","Male","Three or four times  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Disagree","Agree",582.9646,597.1902,567.8292
"379093","Male","Five or more times  ","Yes","Agree","Agree","Often",NA,"Most Lessons","Agree","Agree","Disagree","Agree",442.7559,448.1087,436.0686
"379094","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Agree",360.3443,459.9889,370.0485
"379095","Male","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",466.7472,404.964,490.2462
"379096","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,566.5291,563.9897,559.2503
"379097","Male","Five or more times  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,541.7588,595.2656,558.3178
"379098","Male","Five or more times  ","Yes","Strongly agree","Strongly agree","Always or almost always",NA,"Never or Hardly Ever","Strongly agree","Strongly agree","Disagree","Strongly agree",396.6428,313.4621,346.3633
"379099","Male","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Agree","Strongly disagree","Strongly agree",594.9603,558.1355,574.5431
"379100","Male","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,488.6353,473.9313,523.163
